City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,jamestown,42.097,-79.2353,27.23,60,40,0.89,US,1720808238
128,hamilton,39.1834,-84.5333,31.66,60,5,2.76,US,1720808135
129,haiku-pauwela,20.9219,-156.3051,26.79,73,20,10.29,US,1720808240
130,dhidhdhoo,6.8833,73.1,28.01,81,100,7.58,MV,1720808241
131,usinsk,65.9939,57.5281,10.63,71,100,1.5,RU,1720808242
132,copiapo,-27.3667,-70.3333,12.83,34,0,2.46,CL,1720808218
133,antsiranana,-12.2787,49.2917,23.67,68,96,7.71,MG,1720808245
134,taroa,8.7058,171.2275,28.44,77,100,7.8,MH,1720808246
135,polyarnyy,69.1989,33.4478,13.54,96,100,1.8,RU,1720808248
136,aasiaat,68.7098,-52.8699,4.1,72,75,1.69,GL,1720808249
137,cidade velha,14.9167,-23.6167,26.26,73,100,4.12,CV,1720808251
138,papatowai,-46.5619,169.4708,3.39,90,12,4.1,NZ,1720808252
139,cockburn town,21.4612,-71.1419,28.65,84,100,8.91,TC,1720808253
140,vorgashor,67.5833,63.95,9.33,75,100,3.74,RU,1720808254
141,swan hill,-35.3378,143.5544,8.08,95,90,3.45,AU,1720808255
142,serra talhada,-7.9919,-38.2983,25.97,58,87,4.95,BR,1720808256
143,chernyshevsk,52.5243,117.0174,19.43,56,28,1.0,RU,1720808258
144,jimo,36.3897,120.4622,22.88,100,20,3.0,CN,1720808259
145,margaret river,-33.95,115.0667,10.22,85,100,2.96,AU,1720808260
146,acarau,-2.8856,-40.12,30.17,60,79,7.93,BR,1720808261
147,vernon,50.2581,-119.2691,30.89,24,1,1.54,CA,1720808262
148,kargasok,59.0556,80.8572,17.0,83,27,3.01,RU,1720808264
149,puerto deseado,-47.7503,-65.8938,10.24,53,2,3.22,AR,1720808265
150,hasaki,35.7333,140.8333,22.38,96,100,5.05,JP,1720808266
151,broome,42.2506,-75.833,28.59,72,100,2.06,US,1720808267
152,molchanovo,57.5817,83.7692,17.2,73,48,2.34,RU,1720808268
153,lagos,6.5833,3.75,24.88,88,89,3.41,NG,1720807718
154,salalah,17.0151,54.0924,27.05,94,100,1.54,OM,1720808271
155,alliance,40.9153,-81.1059,29.72,63,2,0.45,US,1720808091
156,gandarbal,34.2333,74.7833,19.76,72,60,2.46,IN,1720808273
157,ugoofaaru,5.6667,73.0,28.77,79,99,7.24,MV,1720808275
158,hawaiian paradise park,19.5933,-154.9731,25.96,81,100,2.06,US,1720808276
159,mariental,-24.6333,17.9667,16.37,15,0,5.31,NA,1720808277
160,bagua grande,-5.7561,-78.4411,31.1,50,40,2.92,PE,1720808278
161,takoradi,4.8845,-1.7554,24.72,86,95,5.07,GH,1720808279
